country_name,indicator_name,value,year
Bahrain,Lifetime risk of maternal death (%),0.042037863,2010
Barbados,Lifetime risk of maternal death (%),0.058520301,2010
Belgium,Lifetime risk of maternal death (%),0.011347155,2010
El Salvador,Lifetime risk of maternal death (%),0.134443557,2010
Qatar,Lifetime risk of maternal death (%),0.025272348,2010
Slovak Republic,Lifetime risk of maternal death (%),0.008061857,2010
India,Lifetime risk of maternal death (%),0.591636997,2010
United States,Lifetime risk of maternal death (%),0.028222234,2010
Czech Republic,Lifetime risk of maternal death (%),0.006443009,2010
Paraguay,Lifetime risk of maternal death (%),0.448055509,2010
Portugal,Lifetime risk of maternal death (%),0.012338701,2010
Hungary,Lifetime risk of maternal death (%),0.017277138,2010
Sweden,Lifetime risk of maternal death (%),0.008111966,2010
Estonia,Lifetime risk of maternal death (%),0.01841925,2010
Norway,Lifetime risk of maternal death (%),0.006797425,2010
Jamaica,Lifetime risk of maternal death (%),0.179106965,2010
Thailand,Lifetime risk of maternal death (%),0.060262532,2010
Trinidad and Tobago,Lifetime risk of maternal death (%),0.134475203,2010
West Bank and Gaza,Lifetime risk of maternal death (%),0.216205333,2010
Azerbaijan,Lifetime risk of maternal death (%),0.065714196,2010
Ireland,Lifetime risk of maternal death (%),0.012650135,2010
Japan,Lifetime risk of maternal death (%),0.008213927,2010
Kazakhstan,Lifetime risk of maternal death (%),0.059695317,2010
South Sudan,Lifetime risk of maternal death (%),5.641022803,2010
Burkina Faso,Lifetime risk of maternal death (%),2.30832781,2010
"Congo, Rep.",Lifetime risk of maternal death (%),2.440662977,2010
Lebanon,Lifetime risk of maternal death (%),0.050517052,2010
St. Vincent and the Grenadines,Lifetime risk of maternal death (%),0.134252876,2010
Croatia,Lifetime risk of maternal death (%),0.013572253,2010
Morocco,Lifetime risk of maternal death (%),0.243945843,2010
Mozambique,Lifetime risk of maternal death (%),2.223783161,2010
Niger,Lifetime risk of maternal death (%),5.139611377,2010
Ghana,Lifetime risk of maternal death (%),1.437319142,2010
Guinea,Lifetime risk of maternal death (%),4.061106011,2010
Botswana,Lifetime risk of maternal death (%),0.586304004,2010
Burundi,Lifetime risk of maternal death (%),3.85796531,2010
St. Lucia,Lifetime risk of maternal death (%),0.172639267,2010
Uganda,Lifetime risk of maternal death (%),2.685517761,2010
Comoros,Lifetime risk of maternal death (%),1.646458574,2010
Mongolia,Lifetime risk of maternal death (%),0.185797402,2010
Lao PDR,Lifetime risk of maternal death (%),0.996976781,2010
"Bahamas, The",Lifetime risk of maternal death (%),0.142032303,2010
"Congo, Dem. Rep.",Lifetime risk of maternal death (%),3.574636727,2010
Mexico,Lifetime risk of maternal death (%),0.116193166,2010
Suriname,Lifetime risk of maternal death (%),0.392504534,2010
"Venezuela, RB",Lifetime risk of maternal death (%),0.314715725,2010
Slovenia,Lifetime risk of maternal death (%),0.012054164,2010
"Iran, Islamic Rep.",Lifetime risk of maternal death (%),0.045595795,2010
Denmark,"Nurses and midwives (per 1,000 people)",10.0978,2010
Rwanda,"Nurses and midwives (per 1,000 people)",0.678,2010
Iceland,"Nurses and midwives (per 1,000 people)",15.2201,2010
Malawi,"Nurses and midwives (per 1,000 people)",0.283,2010
St. Vincent and the Grenadines,"Nurses and midwives (per 1,000 people)",2.6039,2010
Finland,"Nurses and midwives (per 1,000 people)",14.257,2010
South Africa,"Nurses and midwives (per 1,000 people)",1.0225,2010
Uganda,"Nurses and midwives (per 1,000 people)",1.306,2010
Djibouti,"Nurses and midwives (per 1,000 people)",0.8,2010
Malaysia,"Nurses and midwives (per 1,000 people)",3.1976,2010
Armenia,"Nurses and midwives (per 1,000 people)",5.2396,2010
Bangladesh,"Nurses and midwives (per 1,000 people)",0.183,2010
Belarus,"Nurses and midwives (per 1,000 people)",10.6145,2010
Burkina Faso,"Nurses and midwives (per 1,000 people)",0.554,2010
Croatia,"Nurses and midwives (per 1,000 people)",5.7761,2010
Peru,"Nurses and midwives (per 1,000 people)",1.271,2010
Sudan,"Nurses and midwives (per 1,000 people)",0.84,2010
Vanuatu,"Nurses and midwives (per 1,000 people)",1.696,2010
Nicaragua,"Nurses and midwives (per 1,000 people)",1.2647,2010
Slovak Republic,"Nurses and midwives (per 1,000 people)",6.4058,2010
Cabo Verde,"Nurses and midwives (per 1,000 people)",1.1023,2010
Zimbabwe,"Nurses and midwives (per 1,000 people)",0.8289,2010
Palau,"Nurses and midwives (per 1,000 people)",6.6111,2010
Slovenia,"Nurses and midwives (per 1,000 people)",8.2567,2010
Lithuania,"Nurses and midwives (per 1,000 people)",7.594,2010
New Zealand,"Nurses and midwives (per 1,000 people)",10.576,2010
Ireland,"Nurses and midwives (per 1,000 people)",12.845,2010
Andorra,"Nurses and midwives (per 1,000 people)",4.765,2010
United States,"Nurses and midwives (per 1,000 people)",12.5927,2010
Ghana,"Nurses and midwives (per 1,000 people)",1.0608,2010
Philippines,"Nurses and midwives (per 1,000 people)",3.3348,2010
Lao PDR,"Nurses and midwives (per 1,000 people)",0.8572,2010
Tonga,"Nurses and midwives (per 1,000 people)",3.8462,2010
Australia,"Nurses and midwives (per 1,000 people)",10.4017,2010
Barbados,"Nurses and midwives (per 1,000 people)",4.856,2010
North Macedonia,"Nurses and midwives (per 1,000 people)",4.1923,2010
Kiribati,"Nurses and midwives (per 1,000 people)",3.9261,2010
El Salvador,"Nurses and midwives (per 1,000 people)",0.405,2010
Somalia,"Nurses and midwives (per 1,000 people)",0.114,2010
Spain,"Nurses and midwives (per 1,000 people)",5.1111,2010
Bhutan,"Nurses and midwives (per 1,000 people)",0.241,2010
Japan,"Nurses and midwives (per 1,000 people)",10.2738,2010
Sierra Leone,"Nurses and midwives (per 1,000 people)",0.2871,2010
Madagascar,"Nurses and midwives (per 1,000 people)",0.2233,2010
Mauritania,"Nurses and midwives (per 1,000 people)",0.8022,2010
Tunisia,"Nurses and midwives (per 1,000 people)",2.2412,2010
Tuvalu,"Nurses and midwives (per 1,000 people)",5.818,2010
Indonesia,"Nurses and midwives (per 1,000 people)",1.1014,2010
Lebanon,"Nurses and midwives (per 1,000 people)",1.7748,2010
Malta,"Nurses and midwives (per 1,000 people)",6.8501,2010
Switzerland,"Nurses and midwives (per 1,000 people)",14.9586,2010
Vietnam,"Nurses and midwives (per 1,000 people)",1.2327,2010
Ethiopia,"Nurses and midwives (per 1,000 people)",0.236,2010
Papua New Guinea,"Nurses and midwives (per 1,000 people)",0.4983,2010
Solomon Islands,"Nurses and midwives (per 1,000 people)",2.053,2010
Kazakhstan,"Nurses and midwives (per 1,000 people)",7.7215,2010
Albania,"Nurses and midwives (per 1,000 people)",4.0183,2010
Israel,"Nurses and midwives (per 1,000 people)",5.1756,2010
Sri Lanka,"Nurses and midwives (per 1,000 people)",1.7455,2010
Bulgaria,"Nurses and midwives (per 1,000 people)",4.7182,2010
"Iran, Islamic Rep.","Nurses and midwives (per 1,000 people)",1.41,2010
Samoa,"Nurses and midwives (per 1,000 people)",1.5385,2010
Trinidad and Tobago,"Nurses and midwives (per 1,000 people)",2.9403,2010
Canada,"Nurses and midwives (per 1,000 people)",9.3233,2010
Costa Rica,"Nurses and midwives (per 1,000 people)",1.8628,2010
Cuba,"Nurses and midwives (per 1,000 people)",9.1765,2010
Fiji,"Nurses and midwives (per 1,000 people)",2.242,2010
Sweden,"Nurses and midwives (per 1,000 people)",11.7502,2010
Turkmenistan,"Nurses and midwives (per 1,000 people)",4.5135,2010
Nigeria,"Nurses and midwives (per 1,000 people)",1.3568,2010
Singapore,"Nurses and midwives (per 1,000 people)",5.718,2010
Bolivia,"Nurses and midwives (per 1,000 people)",0.8326,2010
Norway,"Nurses and midwives (per 1,000 people)",16.6659,2010
Hungary,"Nurses and midwives (per 1,000 people)",6.4305,2010
Ecuador,"Nurses and midwives (per 1,000 people)",1.6594,2010
Libya,"Nurses and midwives (per 1,000 people)",6.8,2010
Estonia,"Nurses and midwives (per 1,000 people)",6.3989,2010
Saudi Arabia,"Nurses and midwives (per 1,000 people)",4.7332,2010
Panama,"Nurses and midwives (per 1,000 people)",2.4765,2010
Germany,"Nurses and midwives (per 1,000 people)",11.9143,2010
India,"Nurses and midwives (per 1,000 people)",0.8698,2010
Azerbaijan,"Nurses and midwives (per 1,000 people)",7.3513,2010
Bosnia and Herzegovina,"Nurses and midwives (per 1,000 people)",5.4867,2010
Colombia,"Nurses and midwives (per 1,000 people)",0.8674,2010
Moldova,"Nurses and midwives (per 1,000 people)",5.6482,2010
Russian Federation,"Nurses and midwives (per 1,000 people)",7.671,2010
Honduras,"Nurses and midwives (per 1,000 people)",0.8598,2010
Kuwait,"Nurses and midwives (per 1,000 people)",6.5293,2010
Guyana,"Nurses and midwives (per 1,000 people)",1.0061,2010
Kyrgyz Republic,"Nurses and midwives (per 1,000 people)",5.6459,2010
Thailand,"Nurses and midwives (per 1,000 people)",2.0643,2010
Burundi,"Nurses and midwives (per 1,000 people)",0.6885,2010
China,"Nurses and midwives (per 1,000 people)",1.4881,2010
Serbia,"Nurses and midwives (per 1,000 people)",0.8807,2010
Luxembourg,"Nurses and midwives (per 1,000 people)",11.392,2010
Belize,"Nurses and midwives (per 1,000 people)",1.959,2010
Benin,"Nurses and midwives (per 1,000 people)",0.452,2010
Poland,"Nurses and midwives (per 1,000 people)",5.828,2010
"Korea, Rep.","Nurses and midwives (per 1,000 people)",4.6385,2010
Austria,"Nurses and midwives (per 1,000 people)",6.7211,2010
Botswana,"Nurses and midwives (per 1,000 people)",2.9269,2010
Cambodia,"Nurses and midwives (per 1,000 people)",0.856,2010
Cote d'Ivoire,"Nurses and midwives (per 1,000 people)",0.483,2010
Czech Republic,"Nurses and midwives (per 1,000 people)",8.4689,2010
Myanmar,"Nurses and midwives (per 1,000 people)",0.8933,2010
Latvia,"Nurses and midwives (per 1,000 people)",5.1546,2010
Turkey,"Nurses and midwives (per 1,000 people)",2.2829,2010
United Kingdom,"Nurses and midwives (per 1,000 people)",8.789,2010
Pakistan,"Nurses and midwives (per 1,000 people)",0.5595,2010
"Gambia, The","Nurses and midwives (per 1,000 people)",0.568,2010
Isle of Man,"Nurses and midwives (per 1,000 people)",2.273,2010
Lesotho,"Nurses and midwives (per 1,000 people)",0.6655,2010
Ukraine,"Nurses and midwives (per 1,000 people)",7.4719,2010
Montenegro,"Nurses and midwives (per 1,000 people)",5.2827,2010
Kenya,"Nurses and midwives (per 1,000 people)",0.7061,2010
Namibia,"Nurses and midwives (per 1,000 people)",2.775,2010
Portugal,"Nurses and midwives (per 1,000 people)",5.8921,2010
Liberia,"Nurses and midwives (per 1,000 people)",0.4638,2010
Maldives,"Nurses and midwives (per 1,000 people)",5.108,2010
Togo,"Nurses and midwives (per 1,000 people)",1.4616,2010
Bahrain,"Nurses and midwives (per 1,000 people)",2.4595,2010
Niger,"Nurses and midwives (per 1,000 people)",0.137,2010
Qatar,"Nurses and midwives (per 1,000 people)",5.7184,2010
Timor-Leste,"Nurses and midwives (per 1,000 people)",1.1477,2010
Zambia,"Nurses and midwives (per 1,000 people)",0.73,2010
Morocco,"Nurses and midwives (per 1,000 people)",0.89,2010
Mozambique,"Nurses and midwives (per 1,000 people)",0.404,2010
Oman,"Nurses and midwives (per 1,000 people)",4.23,2010
"Congo, Rep.","Nurses and midwives (per 1,000 people)",0.4369,2010
Mongolia,"Nurses and midwives (per 1,000 people)",3.631,2010
Italy,"Nurses and midwives (per 1,000 people)",5.516,2010
Mali,"Nurses and midwives (per 1,000 people)",0.4462,2010
"Yemen, Rep.","Nurses and midwives (per 1,000 people)",0.7165,2010
France,"Nurses and midwives (per 1,000 people)",9.0124,2010
Romania,"Nurses and midwives (per 1,000 people)",5.7113,2010
Jordan,"Nurses and midwives (per 1,000 people)",3.5338,2010
Algeria,"Nurses and midwives (per 1,000 people)",1.947,2010
Cameroon,"Nurses and midwives (per 1,000 people)",0.5267,2010
Georgia,"Nurses and midwives (per 1,000 people)",3.9499,2010
United Arab Emirates,"Nurses and midwives (per 1,000 people)",2.6529,2010
Mauritius,"Nurses and midwives (per 1,000 people)",2.8846,2010
Syrian Arab Republic,"Nurses and midwives (per 1,000 people)",1.8749,2010
Tanzania,"Nurses and midwives (per 1,000 people)",0.242,2010
Uruguay,"Nurses and midwives (per 1,000 people)",5.548,2010
Cyprus,"Nurses and midwives (per 1,000 people)",3.5466,2010
Marshall Islands,"Nurses and midwives (per 1,000 people)",2.2518,2010
Brazil,"Nurses and midwives (per 1,000 people)",7.3497,2010
Seychelles,"Nurses and midwives (per 1,000 people)",4.5126,2010
Belgium,"Nurses and midwives (per 1,000 people)",10.0931,2010
Senegal,"Nurses and midwives (per 1,000 people)",0.42,2010
Greece,"Nurses and midwives (per 1,000 people)",3.7637,2010
Tajikistan,"Nurses and midwives (per 1,000 people)",3.9512,2010
Guinea-Bissau,"Nurses and midwives (per 1,000 people)",0.551,2010
Uzbekistan,"Nurses and midwives (per 1,000 people)",11.3794,2010
"Egypt, Arab Rep.","Nurses and midwives (per 1,000 people)",3.52,2010
Mexico,"Nurses and midwives (per 1,000 people)",2.4118,2010
Senegal,"Fertility rate, total (births per woman)",5.064,2010
Latvia,"Fertility rate, total (births per woman)",1.36,2010
Zimbabwe,"Fertility rate, total (births per woman)",4.034,2010
Central African Republic,"Fertility rate, total (births per woman)",5.215,2010
Mauritania,"Fertility rate, total (births per woman)",4.98,2010
Honduras,"Fertility rate, total (births per woman)",2.957,2010
Iceland,"Fertility rate, total (births per woman)",2.2,2010
Ecuador,"Fertility rate, total (births per woman)",2.615,2010
Germany,"Fertility rate, total (births per woman)",1.39,2010
Peru,"Fertility rate, total (births per woman)",2.546,2010
Puerto Rico,"Fertility rate, total (births per woman)",1.6235,2010
Tajikistan,"Fertility rate, total (births per woman)",3.599,2010
Bangladesh,"Fertility rate, total (births per woman)",2.324,2010
West Bank and Gaza,"Fertility rate, total (births per woman)",4.437,2010
Greenland,"Fertility rate, total (births per woman)",2.195,2010
Timor-Leste,"Fertility rate, total (births per woman)",4.805,2010
Croatia,"Fertility rate, total (births per woman)",1.46,2010
Angola,"Fertility rate, total (births per woman)",6.194,2010
Liechtenstein,"Fertility rate, total (births per woman)",1.4,2010
Suriname,"Fertility rate, total (births per woman)",2.61,2010
"Yemen, Rep.","Fertility rate, total (births per woman)",4.674,2010
Fiji,"Fertility rate, total (births per woman)",2.752,2010
Guam,"Fertility rate, total (births per woman)",2.488,2010
Guinea-Bissau,"Fertility rate, total (births per woman)",5.049,2010
Rwanda,"Fertility rate, total (births per woman)",4.52,2010
Lesotho,"Fertility rate, total (births per woman)",3.302,2010
Uruguay,"Fertility rate, total (births per woman)",2.011,2010
France,"Fertility rate, total (births per woman)",2.03,2010
"Congo, Rep.","Fertility rate, total (births per woman)",4.765,2010
Montenegro,"Fertility rate, total (births per woman)",1.76,2010
Mozambique,"Fertility rate, total (births per woman)",5.392,2010
Eritrea,"Fertility rate, total (births per woman)",4.571,2010
Spain,"Fertility rate, total (births per woman)",1.37,2010
Bermuda,"Fertility rate, total (births per woman)",1.76,2010
Uzbekistan,"Fertility rate, total (births per woman)",2.342,2010
Chile,"Fertility rate, total (births per woman)",1.884,2010
Greece,"Fertility rate, total (births per woman)",1.48,2010
Portugal,"Fertility rate, total (births per woman)",1.39,2010
Albania,"Fertility rate, total (births per woman)",1.66,2010
Malta,"Fertility rate, total (births per woman)",1.36,2010
Nepal,"Fertility rate, total (births per woman)",2.542,2010
Pakistan,"Fertility rate, total (births per woman)",3.951,2010
Djibouti,"Fertility rate, total (births per woman)",3.3,2010
Romania,"Fertility rate, total (births per woman)",1.59,2010
New Caledonia,"Fertility rate, total (births per woman)",2.2,2010
"Korea, Rep.","Fertility rate, total (births per woman)",1.226,2010
Australia,"Fertility rate, total (births per woman)",1.928,2010
Curacao,"Fertility rate, total (births per woman)",2.2,2010
Dominican Republic,"Fertility rate, total (births per woman)",2.503,2010
Guatemala,"Fertility rate, total (births per woman)",3.375,2010
Serbia,"Fertility rate, total (births per woman)",1.4,2010
